query_id,doc_id,rank,rrf_score
Q1_001,NK-223CQDBzp8MRkdJMDiqXn3,1,0.016393
Q1_001,cuinv-19a17fb524a3694e5e298730ba2ce8ad69647c22,2,0.016393
Q1_001,ru-inn-773316924706,3,0.016393
Q1_001,br-pep-7d729f87d1376583aad3aa95163ad2499df95ecb,4,0.016129
Q1_001,ru-inn-910403751642,5,0.016129
Q1_001,br-pep-04af62f23ffe1454cd91a77b2b41c76f5534cd1f,6,0.015873
Q1_001,ru-inn-182702375304,7,0.015873
Q1_001,br-pep-5989992b8caa445d04f9c6a8a7a25eb7eb954cf6,8,0.015625
Q1_001,ru-inn-890306982522,9,0.015625
Q1_001,br-pep-10e9e22852827fa7c4817060dc26c59b1b203464,10,0.015385
Q1_001,ru-inn-770406595592,11,0.015385
Q1_001,co-cedula-1028012819,12,0.015152
Q1_001,ru-inn-503612612506,13,0.015152
Q1_001,br-pep-6393ffee06eec149552ccc49ec4cab728fb4c0f4,14,0.014925
Q1_001,ru-inn-672707738380,15,0.014925
Q1_001,br-pep-31727f37706d3568fbd6b5cd0c48dbce0c35c153,16,0.014706
Q1_001,ru-inn-381299609492,17,0.014706
Q1_001,br-pep-b3a9e1154aacfd0240bcc228547328f00022b87b,18,0.014493
Q1_001,ru-inn-590419366082,19,0.014493
Q1_001,br-pep-8ac6579de53b497c3911f0bdedd897aeb3fa9e43,20,0.014286
Q1_001,ru-inn-770973994329,21,0.014286
Q1_001,br-pep-44fff8b76485d691a8f1dfbb37eaa3b15a899bdd,22,0.014085
Q1_001,ru-inn-170113593052,23,0.014085
Q1_001,br-pep-b161a8fa643942d52670fe0a40c5a9215ecbc9b3,24,0.013889
Q1_001,ru-inn-772883582758,25,0.013889
Q1_001,br-pep-8de9ea379c9f7505cc5ea9ae0ef37d56757adb28,26,0.013699
Q1_001,ru-inn-772027052589,27,0.013699
Q1_001,br-pep-b7e613492fe9d62ed3a49bafcde0669a6e3f776f,28,0.013514
Q1_001,ru-inn-773169193805,29,0.013514
Q1_001,br-pep-263d8e539ce32c92e107c606c75d57c21dd1bd73,30,0.013333
Q1_001,ru-inn-672706116298,31,0.013333
Q1_001,br-pep-0db67d5939cde7e512df14df6a8ca7126815eab1,32,0.013158
Q1_001,ru-inn-773702561630,33,0.013158
Q1_001,br-pep-013a5a628d14512f0dca12c082d38e21cb6e6c5c,34,0.012987
Q1_001,ru-inn-504203277489,35,0.012987
Q1_001,br-pep-c340e2627cb97481b036c6244770ca84eab7b2e3,36,0.012821
Q1_001,ru-inn-773601519801,37,0.012821
Q1_001,br-pep-8cf89b3077a8485a4179441f3d97653e78de710b,38,0.012658
Q1_001,ru-inn-502703592580,39,0.012658
Q1_001,br-pep-8af70dc0cca25058d14973c21eefe7b619d40cbf,40,0.012500
Q1_001,ru-inn-890104025009,41,0.012500
Q1_001,br-pep-d9846468714cd50b4a9d59aa530c75ed4b4b4774,42,0.012346
Q1_001,ru-inn-773507242616,43,0.012346
Q1_001,br-pep-a0a7357f1a1578e6504bec380261ee98b6106867,44,0.012195
Q1_001,ru-inn-504601641698,45,0.012195
Q1_001,br-pep-01832226fba7a0767f2ed4ee41cf44465a09e73a,46,0.012048
Q1_001,ru-inn-761108668240,47,0.012048
Q1_001,br-pep-f1c12135162d0c83339e0597a1ca7ff834646b2a,48,0.011905
Q1_001,ru-inn-770400575938,49,0.011905
Q1_001,br-pep-abb30e8e8c5b595c2bec778c52d5a00a72937077,50,0.011765
Q1_001,ru-inn-911102170903,51,0.011765
Q1_001,br-pep-528850059d5e4d66f33824a2e36e89e149044590,52,0.011628
Q1_001,ru-inn-772206447914,53,0.011628
Q1_001,br-pep-b3119e9ae7299f04b0ec3dc4f00c17c49838457e,54,0.011494
Q1_001,ru-inn-090101511009,55,0.011494
Q1_001,br-pep-6f7b9a9c8262315fe8e9a2ff38df4e5ee517d632,56,0.011364
Q1_001,ru-inn-323211448327,57,0.011364
Q1_001,br-pep-5c9b10624a66223f63cff275b1956e0733e48b00,58,0.011236
Q1_001,ru-inn-524600969249,59,0.011236
Q1_001,br-pep-aa3455308b2cc4b482f6d167811d5cdd68bd3b07,60,0.011111
Q1_001,ru-inn-503011195872,61,0.011111
Q1_001,br-pep-ef2df8fc401694a3363a007ad14fe7b04eaec9b1,62,0.010989
Q1_001,ru-inn-590606948108,63,0.010989
Q1_001,br-pep-c8c29b637a31595cdb2a1408e4ce8a9ad55fb552,64,0.010870
Q1_001,ru-inn-860805957868,65,0.010870
Q1_001,br-pep-e74ee807870db889a260418f25022a8bb7b36bec,66,0.010753
Q1_001,ru-inn-781710693087,67,0.010753
Q1_001,br-pep-8af7dda0ddb369a0ae673e09fb0c4fdfd8a90c7e,68,0.010638
Q1_001,ru-inn-550310321169,69,0.010638
Q1_001,br-pep-bfff02542f0ceb5c73673a2154f7551139115ed2,70,0.010526
Q1_001,ru-inn-290116620126,71,0.010526
Q1_001,br-pep-c4c988c1ae48a4d6940a950929dc1a6845d5d4b1,72,0.010417
Q1_001,ru-inn-212900299597,73,0.010417
Q1_001,br-pep-515150e1ab9fd4018b9eb373ebb9806330d1db84,74,0.010309
Q1_001,ru-inn-772337800080,75,0.010309
Q1_001,br-pep-73da4c8e3c36b4c17d832dcf30cae57619b8435a,76,0.010204
Q1_001,ru-inn-370258613886,77,0.010204
Q1_001,br-pep-56251e06581c10c900243745186dfff228d89617,78,0.010101
Q1_001,ru-inn-772879074208,79,0.010101
Q1_001,br-pep-6f32d52b7c735a124484a17285920a7144c4fb55,80,0.010000
Q1_001,ru-inn-770381319301,81,0.010000
Q1_001,br-pep-d71bbafd080f40ee1fb5a8917afa72ff02525522,82,0.009901
Q1_001,ru-inn-770404768200,83,0.009901
Q1_001,br-pep-9aae8465e40319e53a47df51770bc48de0e2cb42,84,0.009804
Q1_001,ru-inn-263600399770,85,0.009804
Q1_001,br-pep-f762cef0abd8a660d2aade2f0e9fabe1a12c99d0,86,0.009709
Q1_001,ru-inn-503810093860,87,0.009709
Q1_001,br-pep-686a76142dc5e74cecb081770390b5329b9da2a8,88,0.009615
Q1_001,ru-inn-771400250346,89,0.009615
Q1_001,br-pep-2087ad5cea3ff33b0a049ab7eff867f0ecf3f539,90,0.009524
Q1_001,ru-inn-920354118208,91,0.009524
Q1_001,br-pep-b6ee7222237b33e4dc2fe1a910c149c061016269,92,0.009434
Q1_001,ru-inn-504722963210,93,0.009434
Q1_001,br-pep-4832799150c380942e7e59ad0bd802971a3b8bbb,94,0.009346
Q1_001,ru-inn-090400513438,95,0.009346
Q1_001,br-pep-10444e7f3b0197c1209614bec63b19da392b902a,96,0.009259
Q1_001,ru-inn-631602965684,97,0.009259
Q1_001,br-pep-5b77378615f73ad98331fd307ec722a183c8a24a,98,0.009174
Q1_001,ru-inn-602100808049,99,0.009174
Q1_001,br-pep-e69b82352ccbf28ad32933a7d9304da51196c821,100,0.009091
Q1_001,ru-inn-212708330932,101,0.009091
Q1_001,br-pep-0613eadb81edf517bb24b36769d07da1da89a4c9,102,0.009009
Q1_001,ru-inn-780621561418,103,0.009009
Q1_001,br-pep-87e728a165c6ddcc79ba34cf3e803bb48920bc0d,104,0.008929
Q1_001,ru-inn-503240053397,105,0.008929
Q1_001,br-pep-7055970f3a96595d988e0be9a4f62bd90ca555bf,106,0.008850
Q1_001,ru-inn-773014127038,107,0.008850
Q1_001,br-pep-808e2fec6f23ecdfd73ba78a6642372e190bb75d,108,0.008772
Q1_001,ru-inn-342501138462,109,0.008772
Q1_001,br-pep-1d60780ef571d71e09669e058301502d8bbc2c72,110,0.008696
Q1_001,ru-inn-081600111403,111,0.008696
Q1_001,br-pep-60c0a1b414aa6f7496294cd0b995c0d714cbb913,112,0.008621
Q1_001,ru-inn-744517851842,113,0.008621
Q1_001,br-pep-9672aa33d3cc01caccc35a6422cb687d01cd60e6,114,0.008547
Q1_001,ru-inn-254008448430,115,0.008547
Q1_001,br-pep-6625be34e3406715c4dcc07a1fed5905d9f66fb7,116,0.008475
Q1_001,ru-inn-502702848208,117,0.008475
Q1_001,br-pep-a6ac8a1cbb18fc25aaabb0fa9020527cea0d3c72,118,0.008403
Q1_001,ru-inn-614104026109,119,0.008403
Q1_001,br-pep-c58a741d56fc40bf7f5e1b3a594058220f5e4ebe,120,0.008333
Q1_001,ru-inn-503800680509,121,0.008333
Q1_001,co-cedula-1125408042,122,0.008264
Q1_001,ru-inn-770303184150,123,0.008264
Q1_001,br-pep-af08ef47181532f22fba52a6e286f4b3f6342db7,124,0.008197
Q1_001,ru-inn-390500121104,125,0.008197
Q1_001,br-pep-39c6055aef5445aa5ba1dccc5faac2f149239774,126,0.008130
Q1_001,ru-inn-344810730905,127,0.008130
Q1_001,br-pep-0a51254745c823328308958793577be3bbb63910,128,0.008065
Q1_001,ru-inn-773772140749,129,0.008065
Q1_001,br-pep-34601d1cb5f0e64d9561cf555001deffad94b7c7,130,0.008000
Q1_001,ru-inn-772579389670,131,0.008000
Q1_001,br-pep-00b7c27a1ee6175dd34cdeea45656568a1761ceb,132,0.007937
Q1_001,ru-inn-930900510495,133,0.007937
Q1_001,br-pep-ad436cef19e7614e7299d6605d3e42895af43a41,134,0.007874
Q1_001,ru-inn-501305194236,135,0.007874
Q1_001,br-pep-d9bc1c3aa4882a6527ddcb2dcfc61283b2d38d6a,136,0.007812
Q1_001,ru-inn-780421663109,137,0.007812
Q1_001,br-pep-e93464094d6ca9ad67deb851f665a0c093f6d27e,138,0.007752
Q1_001,ru-inn-771587175260,139,0.007752
Q1_001,br-pep-4f2531dd713c101056fc6b8c0d9eb0570eb06661,140,0.007692
Q1_001,ru-inn-772789939513,141,0.007692
Q1_001,br-pep-5f2ec55970348bcbb8cabe9b917498c625a54745,142,0.007634
Q1_001,ru-inn-781901467346,143,0.007634
Q1_001,br-pep-821ea30c9d2cc6fdbfeab3b971900d623fe29dbe,144,0.007576
Q1_001,ru-inn-770900278838,145,0.007576
Q1_001,br-pep-76681c0f9946a5a00f5f9567f5bad84bd16a0913,146,0.007519
Q1_001,ru-inn-250803738716,147,0.007519
Q1_001,br-pep-d50df3802673bf3960ec7bfd173dbf1ad4368074,148,0.007463
Q1_001,ru-inn-694700001554,149,0.007463
Q1_001,br-pep-08aad5bea2c142f77ed171f95eaa0b6b74e42b1c,150,0.007407
Q1_001,ru-inn-890100430006,151,0.007407
Q1_001,br-pep-452f566d4735fb7b5f60bbc935c8fbbaa2536e24,152,0.007353
Q1_001,ru-inn-623105838370,153,0.007353
Q1_001,br-pep-0723826370620ed4d2b58ccefddc107427069db8,154,0.007299
Q1_001,ru-inn-911104128569,155,0.007299
Q1_001,br-pep-43a590951d48e0b06529567db518ba5d779bba19,156,0.007246
Q1_001,ru-inn-782580315171,157,0.007246
Q1_001,br-pep-9f90d30ee0146b24271b6e8e6113edefa0f1f291,158,0.007194
Q1_001,ru-inn-773607805862,159,0.007194
Q1_001,br-pep-d425853c891a0972b6b108e97efeb808ee02930f,160,0.007143
Q1_001,ru-inn-366111780057,161,0.007143
Q1_001,br-pep-e80a9afb1455dc7a63bed5bdc0ddd298da75ea9f,162,0.007092
Q1_001,ru-inn-461301196132,163,0.007092
Q1_001,co-cedula-1077442535,164,0.007042
Q1_001,ru-inn-500714374485,165,0.007042
Q1_001,br-pep-2e0cba0eb765f35416d42e12328879e7b20089a9,166,0.006993
Q1_001,ru-inn-525708871890,167,0.006993
Q1_001,br-pep-55a956dc2043a165725775f2368a65e96cd6d91e,168,0.006944
Q1_001,ru-inn-773372686692,169,0.006944
Q1_001,br-pep-5e9f018f67f596dda84470173483e8805f128310,170,0.006897
Q1_001,ru-inn-332104315510,171,0.006897
Q1_001,br-pep-d2061360d0392413404721166cc842478ec37e2b,172,0.006849
Q1_001,ru-inn-771400999424,173,0.006849
Q1_001,br-pep-4f6b3d16ab727498339ed0f80b85985574483c2c,174,0.006803
Q1_001,ru-inn-910214776296,175,0.006803
Q1_001,br-pep-7a88ca3a827784e02fe9bbeefa5cab5e4e12ce84,176,0.006757
Q1_001,ru-inn-694400705408,177,0.006757
Q1_001,br-pep-ebf05a75178f2236585f41dcd2c8e40753667f49,178,0.006711
Q1_001,ru-inn-774320957512,179,0.006711
Q1_001,br-pep-e9ea0faeb83db02cc35b3a46c9987bdf973d9f1e,180,0.006667
Q1_001,ru-inn-772271212479,181,0.006667
Q1_001,br-pep-442dabf0a31325a02f5184bfad9839dbaf44a8a6,182,0.006623
Q1_001,ru-inn-503807788861,183,0.006623
Q1_001,br-pep-9d3cc64a4d24fa8bc03139efab1c5c5caf3b4caa,184,0.006579
Q1_001,ru-inn-772901869548,185,0.006579
Q1_001,br-pep-2f50429c47e2373c4751253a7fba0724de7d8eb3,186,0.006536
Q1_001,ru-inn-263521515590,187,0.006536
Q1_001,br-pep-44fb99607f90de100bdb01044bd1d958a240893a,188,0.006494
Q1_001,ru-inn-910800057303,189,0.006494
Q1_001,br-pep-dd22f9d8dc1483807e47a8b05e8ef716eea25ce3,190,0.006452
Q1_001,ru-inn-421705800058,191,0.006452
Q1_001,br-pep-3825c848b8b6647cc4a3ecbfa91b7c0f1a440aa4,192,0.006410
Q1_001,ru-inn-503822643003,193,0.006410
Q1_001,br-pep-b7fda5e12619f487f70874f53fcfd7b4d0e13c70,194,0.006369
Q1_001,ru-inn-591152892037,195,0.006369
Q1_001,br-pep-c1592a2f5ac4a370e5874fda0ba4c2f8393547e3,196,0.006329
Q1_001,ru-inn-772901522401,197,0.006329
Q1_001,br-pep-e7c993cc085a5ff00246ef2a7df079c194a5d025,198,0.006289
Q1_001,ru-inn-594400487490,199,0.006289
Q1_001,br-pep-4d69ee91e4d3f44bfa9237a142ef118fc2642cb5,200,0.006250
Q1_001,ru-inn-742203383011,201,0.006250
Q1_002,NK-223CQDBzp8MRkdJMDiqXn3,1,0.016393
Q1_002,Q16147614,2,0.016393
Q1_002,pl-wanted-914d9138c76abee56588e6b9a65169db97f99123,3,0.016393
Q1_002,mx-dep-vazquez-calixto-javier-hidalgo,4,0.016129
Q1_002,pl-wanted-bb26cf2c9d42fe74903e504f2599ed61544c297f,5,0.016129
Q1_002,Q2881251,6,0.015873
Q1_002,pl-wanted-536e42a54eff5a881f26b6ede5c6bd01cf018ca5,7,0.015873
Q1_002,Q16187255,8,0.015625
Q1_002,pl-wanted-c17be1ae85e6f2460f27c732d64021190628dedf,9,0.015625
Q1_002,Q16222519,10,0.015385
Q1_002,pl-wanted-60ec8b9eef9b41bde71b03798a9275298a35a28f,11,0.015385
