query_id,query_type,doc_id,rank,dense_score,model,run_tag
Q1_001,1,ru-inn-773316924706,1,0.490590394,bge-m3,FULL_20260410
Q1_001,1,ru-inn-910403751642,2,0.489275694,bge-m3,FULL_20260410
Q1_001,1,ru-inn-182702375304,3,0.488260984,bge-m3,FULL_20260410
Q1_001,1,ru-inn-890306982522,4,0.486210704,bge-m3,FULL_20260410
Q1_001,1,ru-inn-770406595592,5,0.481816292,bge-m3,FULL_20260410
Q1_001,1,ru-inn-503612612506,6,0.480325103,bge-m3,FULL_20260410
Q1_001,1,ru-inn-672707738380,7,0.479721487,bge-m3,FULL_20260410
Q1_001,1,ru-inn-381299609492,8,0.479538083,bge-m3,FULL_20260410
Q1_001,1,ru-inn-590419366082,9,0.479176044,bge-m3,FULL_20260410
Q1_001,1,ru-inn-770973994329,10,0.478920817,bge-m3,FULL_20260410
Q1_001,1,ru-inn-170113593052,11,0.478425980,bge-m3,FULL_20260410
Q1_001,1,ru-inn-772883582758,12,0.478039384,bge-m3,FULL_20260410
Q1_001,1,ru-inn-772027052589,13,0.477919877,bge-m3,FULL_20260410
Q1_001,1,ru-inn-773169193805,14,0.476690769,bge-m3,FULL_20260410
Q1_001,1,ru-inn-672706116298,15,0.476375401,bge-m3,FULL_20260410
Q1_001,1,ru-inn-773702561630,16,0.476273358,bge-m3,FULL_20260410
Q1_001,1,ru-inn-504203277489,17,0.475867093,bge-m3,FULL_20260410
Q1_001,1,ru-inn-773601519801,18,0.474866688,bge-m3,FULL_20260410
Q1_001,1,ru-inn-502703592580,19,0.474775791,bge-m3,FULL_20260410
Q1_001,1,ru-inn-890104025009,20,0.474211276,bge-m3,FULL_20260410
Q1_001,1,ru-inn-773507242616,21,0.474101305,bge-m3,FULL_20260410
Q1_001,1,ru-inn-504601641698,22,0.473447382,bge-m3,FULL_20260410
Q1_001,1,ru-inn-761108668240,23,0.473359346,bge-m3,FULL_20260410
Q1_001,1,ru-inn-770400575938,24,0.473153234,bge-m3,FULL_20260410
Q1_001,1,ru-inn-911102170903,25,0.473152280,bge-m3,FULL_20260410
Q1_001,1,ru-inn-772206447914,26,0.473061085,bge-m3,FULL_20260410
Q1_001,1,ru-inn-090101511009,27,0.472581923,bge-m3,FULL_20260410
Q1_001,1,ru-inn-323211448327,28,0.472391367,bge-m3,FULL_20260410
Q1_001,1,ru-inn-524600969249,29,0.472301602,bge-m3,FULL_20260410
Q1_001,1,ru-inn-503011195872,30,0.471990824,bge-m3,FULL_20260410
Q1_001,1,ru-inn-590606948108,31,0.471936524,bge-m3,FULL_20260410
Q1_001,1,ru-inn-860805957868,32,0.471791148,bge-m3,FULL_20260410
Q1_001,1,ru-inn-781710693087,33,0.471788228,bge-m3,FULL_20260410
Q1_001,1,ru-inn-550310321169,34,0.471704364,bge-m3,FULL_20260410
Q1_001,1,ru-inn-290116620126,35,0.471559703,bge-m3,FULL_20260410
Q1_001,1,ru-inn-212900299597,36,0.471522212,bge-m3,FULL_20260410
Q1_001,1,ru-inn-772337800080,37,0.471470594,bge-m3,FULL_20260410
Q1_001,1,ru-inn-370258613886,38,0.471409559,bge-m3,FULL_20260410
Q1_001,1,ru-inn-772879074208,39,0.471248686,bge-m3,FULL_20260410
Q1_001,1,ru-inn-770381319301,40,0.471247315,bge-m3,FULL_20260410
Q1_001,1,ru-inn-770404768200,41,0.470638037,bge-m3,FULL_20260410
Q1_001,1,ru-inn-263600399770,42,0.470587194,bge-m3,FULL_20260410
Q1_001,1,ru-inn-503810093860,43,0.470575094,bge-m3,FULL_20260410
Q1_001,1,ru-inn-771400250346,44,0.470558047,bge-m3,FULL_20260410
Q1_001,1,ru-inn-920354118208,45,0.470449030,bge-m3,FULL_20260410
Q1_001,1,ru-inn-504722963210,46,0.470219851,bge-m3,FULL_20260410
Q1_001,1,ru-inn-090400513438,47,0.470169783,bge-m3,FULL_20260410
Q1_001,1,ru-inn-631602965684,48,0.470097542,bge-m3,FULL_20260410
Q1_001,1,ru-inn-602100808049,49,0.470046639,bge-m3,FULL_20260410
Q1_001,1,ru-inn-212708330932,50,0.469802141,bge-m3,FULL_20260410
Q1_001,1,ru-inn-780621561418,51,0.469731152,bge-m3,FULL_20260410
Q1_001,1,ru-inn-503240053397,52,0.469693065,bge-m3,FULL_20260410
Q1_001,1,ru-inn-773014127038,53,0.469587445,bge-m3,FULL_20260410
Q1_001,1,ru-inn-342501138462,54,0.469512939,bge-m3,FULL_20260410
Q1_001,1,ru-inn-081600111403,55,0.469503522,bge-m3,FULL_20260410
Q1_001,1,ru-inn-744517851842,56,0.469259560,bge-m3,FULL_20260410
Q1_001,1,ru-inn-254008448430,57,0.469237566,bge-m3,FULL_20260410
Q1_001,1,ru-inn-502702848208,58,0.469219029,bge-m3,FULL_20260410
Q1_001,1,ru-inn-614104026109,59,0.469090521,bge-m3,FULL_20260410
Q1_001,1,ru-inn-503800680509,60,0.469009876,bge-m3,FULL_20260410
Q1_001,1,ru-inn-770303184150,61,0.468974769,bge-m3,FULL_20260410
Q1_001,1,ru-inn-390500121104,62,0.468967021,bge-m3,FULL_20260410
Q1_001,1,ru-inn-344810730905,63,0.468899548,bge-m3,FULL_20260410
Q1_001,1,ru-inn-773772140749,64,0.468807161,bge-m3,FULL_20260410
Q1_001,1,ru-inn-772579389670,65,0.468729973,bge-m3,FULL_20260410
Q1_001,1,ru-inn-930900510495,66,0.468719363,bge-m3,FULL_20260410
Q1_001,1,ru-inn-501305194236,67,0.468672335,bge-m3,FULL_20260410
Q1_001,1,ru-inn-780421663109,68,0.468596101,bge-m3,FULL_20260410
Q1_001,1,ru-inn-771587175260,69,0.468538642,bge-m3,FULL_20260410
Q1_001,1,ru-inn-772789939513,70,0.468483567,bge-m3,FULL_20260410
Q1_001,1,ru-inn-781901467346,71,0.468307614,bge-m3,FULL_20260410
Q1_001,1,ru-inn-770900278838,72,0.468231618,bge-m3,FULL_20260410
Q1_001,1,ru-inn-250803738716,73,0.468225539,bge-m3,FULL_20260410
Q1_001,1,ru-inn-694700001554,74,0.468112350,bge-m3,FULL_20260410
Q1_001,1,ru-inn-890100430006,75,0.468068123,bge-m3,FULL_20260410
Q1_001,1,ru-inn-623105838370,76,0.467872381,bge-m3,FULL_20260410
Q1_001,1,ru-inn-911104128569,77,0.467828035,bge-m3,FULL_20260410
Q1_001,1,ru-inn-782580315171,78,0.467786312,bge-m3,FULL_20260410
Q1_001,1,ru-inn-773607805862,79,0.467601478,bge-m3,FULL_20260410
Q1_001,1,ru-inn-366111780057,80,0.467510939,bge-m3,FULL_20260410
Q1_001,1,ru-inn-461301196132,81,0.467505932,bge-m3,FULL_20260410
Q1_001,1,ru-inn-500714374485,82,0.467452049,bge-m3,FULL_20260410
Q1_001,1,ru-inn-525708871890,83,0.467378855,bge-m3,FULL_20260410
Q1_001,1,ru-inn-773372686692,84,0.467268944,bge-m3,FULL_20260410
Q1_001,1,ru-inn-332104315510,85,0.467225671,bge-m3,FULL_20260410
Q1_001,1,ru-inn-771400999424,86,0.467223585,bge-m3,FULL_20260410
Q1_001,1,ru-inn-910214776296,87,0.467100024,bge-m3,FULL_20260410
Q1_001,1,ru-inn-694400705408,88,0.467034459,bge-m3,FULL_20260410
Q1_001,1,ru-inn-774320957512,89,0.467025757,bge-m3,FULL_20260410
Q1_001,1,ru-inn-772271212479,90,0.466931581,bge-m3,FULL_20260410
Q1_001,1,ru-inn-503807788861,91,0.466894746,bge-m3,FULL_20260410
Q1_001,1,ru-inn-772901869548,92,0.466801107,bge-m3,FULL_20260410
Q1_001,1,ru-inn-263521515590,93,0.466763735,bge-m3,FULL_20260410
Q1_001,1,ru-inn-910800057303,94,0.466634452,bge-m3,FULL_20260410
Q1_001,1,ru-inn-421705800058,95,0.466582656,bge-m3,FULL_20260410
Q1_001,1,ru-inn-503822643003,96,0.466382265,bge-m3,FULL_20260410
Q1_001,1,ru-inn-591152892037,97,0.466203690,bge-m3,FULL_20260410
Q1_001,1,ru-inn-772901522401,98,0.466063499,bge-m3,FULL_20260410
Q1_001,1,ru-inn-594400487490,99,0.465829253,bge-m3,FULL_20260410
Q1_001,1,ru-inn-742203383011,100,0.465784609,bge-m3,FULL_20260410
Q1_002,1,Q16147614,1,0.381764054,bge-m3,FULL_20260410
Q1_002,1,mx-dep-vazquez-calixto-javier-hidalgo,2,0.375523686,bge-m3,FULL_20260410
Q1_002,1,Q2881251,3,0.370382905,bge-m3,FULL_20260410
Q1_002,1,Q16187255,4,0.368971586,bge-m3,FULL_20260410
Q1_002,1,Q16222519,5,0.364805222,bge-m3,FULL_20260410
Q1_002,1,Q5923208,6,0.364517450,bge-m3,FULL_20260410
